ob_end_time, id_type, id, ob_hour_count, version_num, met_domain_name, src_id, rec_st_ind, max_air_temp, min_air_temp, min_grss_temp, min_conc_temp, max_air_temp_q, min_air_temp_q, min_grss_temp_q, min_conc_temp_q, meto_stmp_time, midas_stmp_etime, max_air_temp_j, min_air_temp_j, min_grss_temp_j, min_conc_temp_j
1965-03-25 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 5, 0, -5.6, , 9, 9, 9, 0, , , , , ,
1965-03-25 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 5.6, 1.1, -.6, , 9, 9, 9, 0, , , , , ,
1965-03-25 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 8.9, 1.1, 0, , 9, 9, 9, 0, , , , , ,
1965-03-26 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 6.7, .6, -.6, , 9, 9, 9, 0, , , , , ,
1965-03-26 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 9.4, 1.1, 1.1, , 9, 9, 9, 0, , , , , ,
1965-03-26 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 8.3, 3.3, 2.8, , 9, 9, 9, 0, , , , , ,
1965-03-27 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 10, 4.4, 2.2, , 9, 9, 9, 0, , , , , ,
1965-03-27 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 11.7, 2.8, 5, , 9, 109, 109, 0, , , , , ,
1965-03-27 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 8.9, 6.7, 6.1, , 9, 9, 9, 0, , , , , ,
1965-03-28 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 12.2, 9.4, 6.7, , 9, 9, 9, 0, , , , , ,
1965-03-28 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 12.2, 4.4, 1.7, , 9, 9, 9, 0, , , , , ,
1965-03-28 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, , , , , 0, 0, 0, 0, , , , , ,
1965-03-29 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 17.2, 10, 1.1, , 9, 109, 109, 0, , , , , ,
1965-03-29 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 18.3, -.6, -2.8, , 9, 9, 9, 0, , , , , ,
1965-03-29 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 18.3, 2.2, -1.1, , 9, 9, 9, 0, , , , , ,
1965-03-30 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 17.8, 2.2, -5, , 9, 9, 9, 0, , , , , ,
1965-03-30 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 21.1, 1.7, -1.1, , 9, 9, 9, 0, , , , , ,
1965-03-30 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 15.6, 6.7, 3.9, , 9, 9, 9, 0, , , , , ,
1965-03-31 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 11.1, -2.2, -7.2, , 9, 9, 9, 0, , , , , ,
1965-03-31 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 8.9, 1.7, 2.8, , 9, 109, 109, 0, , , , , ,
1965-03-31 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 11.1, 1.7, 1.1, , 9, 9, 9, 0, , , , , ,
1965-04-01 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 8.3, .6, -7.2, , 9, 9, 9, 0, , , , , ,
1965-04-01 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 11.7, -3.3, -2.8, , 9, 109, 109, 0, , , , , ,
1965-04-01 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 9.4, 2.2, 1.1, , 9, 9, 109, 0, , , , , ,
1965-04-02 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 13.9, 2.8, -3.9, , 9, 9, 9, 0, , , , , ,
1965-04-02 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 16.7, -6.1, -5, , 9, 109, 109, 0, , , , , ,
1965-04-02 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 12.2, 3.9, 3.3, , 9, 9, 109, 0, , , , , ,
1965-04-03 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 13.3, 2.8, .6, , 9, 9, 109, 0, , , , , ,
1965-04-03 09:00, DCNN, 2042, 24, 1, DLY3208, 297, 1001, 16.7, -1.1, -2.8, , 9, 9, 9, 0, , , , , ,
1965-04-03 09:00, DCNN, 8834, 24, 1, DLY3208, 1350, 1001, 16.1, 5.6, .6, , 9, 9, 109, 0, , , , , ,
1965-04-04 09:00, DCNN, 0588, 24, 1, DLY3208, 115, 1001, 16.7, 7.2, 2.2, , 9, 9, 109, 0, , , , , ,
